drug_index,disease_index,related_phenotypes,related_proteins,drug_name,drug_type,disease_name,disease_type
20254,33647,"[22811, 94333, 94167]","[7618, 7024, 9233, 9652, 8919, 11038]",Polyethylene glycol,drug,periodic paralysis (disease),disease
14483,31395,"[85561, 24585, 22759]","[2641, 6154, 3932, 12537]",Estradiol valerate,drug,benign prostatic hyperplasia (disease),disease
14229,30184,"[33730, 22788, 25381, 26180, 24199, 23400, 22124, 24143, 22933, 22934, 85561, 85021]","[12739, 5510, 6002, 1908, 8733, 3231]",Tretinoin,drug,congenital neutropenia-myelofibrosis-nephromegaly syndrome,disease
17333,33656,"[23281, 84387]","[3712, 1760, 11846, 13575, 9320, 12332, 12079, 22000, 11665, 4114, 12371, 789, 2329, 6492, 574, 1567]",Isoleucine,drug,hypercalcemia disease,disease
14280,27878,"[22788, 84517, 84363, 24492, 85837, 25515, 87311, 23731, 84885, 22966, 24502, 25655, 24569, 23546]","[5574, 11114, 8204, 8336, 12240, 1239, 2616, 668, 6684, 8318]",Glyburide,drug,X-linked adrenal hypoplasia congenita,disease
15324,30184,"[33730, 22788, 25381, 26180, 24199, 23400, 22124, 24143, 22933, 22934, 85561, 85021]","[12739, 5510, 6002, 1908, 8733, 3231]",Leflunomide,drug,congenital neutropenia-myelofibrosis-nephromegaly syndrome,disease
15127,33593,"[22786, 24612, 84393, 94461, 94462, 94463]","[8705, 3078, 4103, 5638, 4618, 4109, 528, 9232, 8210, 7188, 8212, 1047, 1050, 22043, 29, 1567, 1057, 9761, 10277, 11813, 5671, 22057, 12842, 568, 5688, 6206, 7239, 12359, 12876, 8781, 10833, 12372, 7765, 9815, 6233, 1116, 8798, 1122, 2148, 3176, 11881, 7787, 5230, 8822, 7287, 3192, 10361, 9340, 4221, 9345, 1154, 3203, 7300, 7297, 11911, 3209, 143, 4757, 8345, 13986, 10915, 7335, 13479, 176, 178, 12467, 9402, 8380, 5310, 6848, 709, 1228, 9938, 10452, 213, 11482, 11994, 2271, 8416, 5345, 2786, 1760, 2791, 1256, 5354, 1772, 4845, 10997, 6901, 8441, 4859, 3841, 6403, 11523, 9475, 4872, 12554, 6411, 34570, 3858, 6418, 7955, 13589, 34580, 9495, 34581, 2329, 34582, 5915, 34583, 34584, 34585, 34586, 34587, 34588, 8994, 34589, 4900, 805, 3879, 6959, 2863, 4912, 6453, 5432, 4923, 9019, 5443, 6983, 4425, 6985, 13642, 5966, 2384, 1876, 341, 2388, 3417, 4959, 864, 12128, 8036, 8038, 3431, 4968, 3433, 5481, 361, 12653, 4465, 375, 7031, 11639, 4989, 7040, 13697, 8070, 6541, 3471, 3474, 410, 6556, 6558, 5022, 6561, 4003, 421, 2982, 13221, 12713, 3513, 13242, 3003, 6081, 2497, 1986, 1475, 11717, 4550, 1479, 1480, 8140, 10701, 21972, 13780, 1494, 5591, 34268, 9181, 2526, 5086, 989, 12769, 8163, 5092, 21990, 3047, 4584, 21991, 5098, 9194, 9196, 6125, 34286, 10745]",Perphenazine,drug,obesity disorder,disease
20328,28374,"[84456, 93465, 25403, 22759]","[2978, 9029, 4425, 12842, 1740, 12766, 4959]",Methenamine,drug,gastroesophageal reflux disease,disease
15832,33605,"[25744, 94267, 94549, 27095]","[7040, 33913, 8192, 11136, 11143, 1927, 4620, 5137, 2452, 2965, 2329, 22045, 5534, 1567, 3233, 8354, 6309, 6567, 2472, 13097, 3495, 172, 5938, 7607, 2617, 9021, 7872, 321, 5058, 9029, 5963, 11857, 211, 213, 4186, 4315, 3932, 1760, 2401, 8805, 1256, 4969, 361, 9196, 2797, 1004, 21999, 1650, 33907, 2036, 7161, 4348, 3199]",Carisoprodol,drug,hypotensive disorder,disease
14988,30184,"[33730, 22788, 25381, 26180, 24199, 23400, 22124, 24143, 22933, 22934, 85561, 85021]","[12739, 5510, 6002, 1908, 8733, 3231]",Pimozide,drug,congenital neutropenia-myelofibrosis-nephromegaly syndrome,disease
14880,32243,"[26336, 22978, 86179, 84456, 86154, 22988, 22989, 85042, 22262, 22999]","[4742, 22056, 12842, 35295, 10902, 12766, 4959]",Nicotine,drug,eosinophilic esophagitis,disease
16313,28374,"[84456, 93465, 25403, 22759]","[2978, 9029, 4425, 12842, 1740, 12766, 4959]",Propantheline,drug,gastroesophageal reflux disease,disease
15855,35955,"[23162, 23915]",[11985],Minoxidil,drug,pericarditis (disease),disease
14476,33598,"[26376, 94264, 23039]","[6144, 8069, 9485, 34574, 34575, 5137, 1810, 13075, 8979, 3350, 3607, 2711, 2329, 29, 11677, 1567, 6175, 802, 6307, 13097, 3114, 5938, 2099, 7346, 7287, 319, 8256, 10434, 2375, 4425, 2889, 4941, 1874, 2515, 11860, 4182, 3289, 4315, 11356, 13535, 7136, 2016, 9570, 5731, 11744, 611, 9448, 4584, 4968, 361, 1004, 8428, 1904, 3060, 373, 9207, 632, 7161]",Testosterone cypionate,drug,stroke disorder,disease
17729,29307,"[26180, 85002, 84461, 87508, 85368]","[1760, 13575, 361, 8618, 844, 2797, 9392, 1497]",Alendronic acid,drug,nephrolithiasis susceptibility caused by SLC26A1,disease
15467,28651,"[26180, 88486, 22759, 91382, 89272]","[8705, 3078, 4103, 5638, 4618, 4109, 528, 9232, 8210, 7188, 8212, 1047, 1050, 22043, 29, 1567, 1057, 9761, 10277, 11813, 5671, 22057, 12842, 568, 5688, 6206, 7239, 12359, 12876, 8781, 10833, 12372, 7765, 9815, 6233, 1116, 8798, 1122, 2148, 3176, 11881, 7787, 5230, 8822, 7287, 3192, 10361, 9340, 4221, 9345, 1154, 3203, 7300, 7297, 11911, 3209, 143, 4757, 8345, 13986, 10915, 7335, 13479, 176, 178, 12467, 9402, 8380, 5310, 6848, 709, 1228, 9938, 10452, 213, 11482, 11994, 2271, 8416, 5345, 2786, 1760, 2791, 1256, 5354, 1772, 4845, 10997, 6901, 8441, 4859, 3841, 6403, 11523, 9475, 4872, 12554, 6411, 34570, 3858, 6418, 7955, 13589, 34580, 9495, 34581, 2329, 34582, 5915, 34583, 34584, 34585, 34586, 34587, 34588, 8994, 34589, 4900, 805, 3879, 6959, 2863, 4912, 6453, 5432, 4923, 9019, 5443, 6983, 4425, 6985, 13642, 5966, 2384, 1876, 341, 2388, 3417, 4959, 864, 12128, 8036, 8038, 3431, 4968, 3433, 5481, 361, 12653, 4465, 375, 7031, 11639, 4989, 7040, 13697, 8070, 6541, 3471, 3474, 410, 6556, 6558, 5022, 6561, 4003, 421, 2982, 13221, 12713, 3513, 13242, 3003, 6081, 2497, 1986, 1475, 11717, 4550, 1479, 1480, 8140, 10701, 21972, 13780, 1494, 5591, 34268, 9181, 2526, 5086, 989, 12769, 8163, 5092, 21990, 3047, 4584, 21991, 5098, 9194, 9196, 6125, 34286, 10745]",Ethynodiol diacetate,drug,monogenic obesity,disease
14171,30491,"[26449, 84853, 25854, 22759]","[5203, 341, 9207]",Meperidine,drug,obstructive sleep apnea syndrome,disease
16795,28552,"[94136, 22759]","[5124, 3078, 7688, 7568, 4497, 7059, 2579, 7958, 2329, 6428, 6684, 1567, 35105, 34082, 35106, 12454, 3495, 2983, 1705, 679, 7083, 3887, 1592, 5438, 7489, 13122, 6598, 35398, 13257, 6985, 21961, 2384, 12881, 8531, 8277, 213, 5720, 4184, 7384, 729, 4579, 8428, 2797, 4468, 12663, 7801, 9723, 7036]",Diclofenamide,drug,type 1 diabetes mellitus,disease
14738,32319,"[24065, 24584, 25608, 23056, 84505, 22555, 24608, 85033, 85036, 22578, 87093, 25145, 24123, 22621, 25699, 85103, 84592, 22133, 22136, 22660, 22156, 22160, 22675, 24218, 87201, 23203, 84658, 22710, 23736, 25279, 88257, 22722, 22212, 24260, 85194, 25312, 22763, 23790, 23279, 84720, 23793, 22264, 22277, 22288, 25365, 23317, 86297, 23321, 22304, 25381, 23335, 22837, 22843, 26427, 22845, 22343, 22350, 22865, 22870, 22360, 23897, 93532, 22380, 25453, 25455, 23416, 23930, 22916, 93586, 22934, 23960, 22939, 25515, 87474, 89522, 22455, 33730, 22474, 22478, 25552, 22488, 24028, 26085, 25586, 24051, 22522]","[7427, 8580, 9612, 4752, 2329, 666, 8987, 6809, 1181, 1949, 554, 1082, 4557, 6990, 80, 592, 339, 10329, 11619, 3179, 12140, 5869, 7534, 1902, 1264]",Busulfan,drug,Fanconi anemia,disease
15417,29175,"[22946, 22594, 84420, 26180, 24285, 22793, 22859, 22323, 93493, 23736, 25785, 93626, 84477]","[6848, 8579, 361, 8042, 13993, 12076, 2797, 7535, 12881, 6642, 2579, 13396, 10998, 118, 12120, 22043, 6175, 4959]",Phentermine,drug,thyrotoxicosis,disease
14982,30491,"[26449, 84853, 25854, 22759]","[5203, 341, 9207]",Zaleplon,drug,obstructive sleep apnea syndrome,disease
14938,37785,[33765],"[772, 4997, 3460, 657, 3474, 1299, 279, 2712, 6168, 2329, 2078, 3233, 2978, 417, 9763, 2983, 10919, 7083, 5805, 179, 13365, 4152, 2874, 2749, 3646, 11199, 192, 7359, 4162, 34623, 12740, 11588, 1990, 1618, 2643, 4818, 21972, 3414, 6229, 7384, 729, 34776, 2139, 2012, 34777, 8030, 11103, 34778, 34779, 34780, 34781, 4968, 1004, 9454, 2543, 625, 1777, 8564, 1654, 12663, 3064, 3578, 4731]",Reserpine,drug,ulcerative colitis (disease),disease
15167,32977,"[26336, 22977, 22952, 23113, 26312, 25644, 25560, 85040, 23440, 22323, 24340, 25620, 23158, 22679, 23000, 25945, 22555, 22398]","[130, 6532, 7626, 9835, 3955, 8855]",Antipyrine,drug,inherited porphyria,disease
17233,37564,"[33737, 33738]","[11523, 2329, 11239, 9031, 7497, 4425, 8556, 2797, 1004, 749, 4497, 3474, 14002, 21972, 373, 1014, 8857, 8222]",Carbinoxamine,drug,gastric ulcer (disease),disease
20302,33675,"[23175, 22536, 94383, 94448, 94449]","[1026, 11267, 6155, 5137, 9234, 10258, 1567, 9763, 22056, 10285, 4142, 3631, 568, 5176, 1592, 33851, 6220, 8783, 594, 10835, 8277, 12885, 5223, 3688, 3192, 8825, 4738, 6794, 12455, 177, 7859, 2750, 8917, 6874, 8415, 2797, 749, 8432, 5877, 4348, 3841, 34058, 34574, 6414, 2329, 5915, 7476, 10559, 13122, 4418, 9029, 34119, 9031, 2889, 4941, 1873, 6492, 34150, 13160, 4968, 361, 373, 3451, 2429, 3966, 4494, 3474, 3478, 6552, 1944, 13723, 7083, 9133, 10675, 34746, 34747, 8130, 5586, 11219, 1494, 1497, 5604, 1510, 1004, 8686, 4086, 7161]",Potassium Iodide,drug,asthma,disease
14635,33605,"[25744, 94267, 94549, 27095]","[7040, 33913, 8192, 11136, 11143, 1927, 4620, 5137, 2452, 2965, 2329, 22045, 5534, 1567, 3233, 8354, 6309, 6567, 2472, 13097, 3495, 172, 5938, 7607, 2617, 9021, 7872, 321, 5058, 9029, 5963, 11857, 211, 213, 4186, 4315, 3932, 1760, 2401, 8805, 1256, 4969, 361, 9196, 2797, 1004, 21999, 1650, 33907, 2036, 7161, 4348, 3199]",Nitroglycerin,drug,hypotensive disorder,disease
15174,30382,[25308],"[8256, 5056, 2017, 611, 5092, 10833, 4497, 10835, 5938, 5137, 4182, 11860, 6936, 3289, 29]",Metamfetamine,drug,obsolete susceptibility to ischemic stroke,disease
15621,27933,"[22759, 22447]","[8192, 10257, 22, 6175, 33, 2082, 2096, 6195, 4152, 4156, 10319, 4186, 2148, 6244, 10346, 111, 2163, 4213, 4221, 125, 8317, 4232, 138, 12431, 154, 2225, 6329, 6330, 188, 194, 2248, 12489, 2258, 213, 4315, 10460, 2269, 12510, 10470, 235, 236, 2288, 4340, 249, 8441, 4347, 4358, 12555, 4366, 272, 6418, 6424, 2329, 6428, 286, 6435, 6440, 4401, 2363, 321, 10563, 4420, 4425, 8527, 2384, 4437, 4446, 2401, 6497, 357, 361, 363, 4468, 373, 375, 10619, 2429, 6529, 389, 390, 2443, 4497, 2450, 12691, 2452, 10654, 2467, 2472, 8620, 4526, 431, 10674, 10675, 10677, 439, 2497, 452, 2504, 457, 6606, 4566, 471, 6627, 2533, 10731, 8684, 497, 4599, 2551, 10744, 509, 2557, 4608, 12805, 4620, 10771, 532, 2579, 2585, 8733, 2591, 554, 8747, 557, 10804, 8757, 10805, 12856, 2617, 6715, 8766, 578, 587, 594, 10835, 6739, 611, 8805, 2665, 2672, 4732, 6782, 8832, 2688, 2692, 6792, 4757, 665, 2719, 4769, 681, 683, 2744, 4796, 6848, 10944, 2754, 4818, 729, 2789, 743, 4839, 4842, 749, 2797, 8946, 4859, 4875, 11020, 6926, 2833, 4883, 6940, 799, 8999, 13097, 11049, 4910, 2870, 11065, 9021, 837, 9029, 2889, 9054, 4959, 864, 866, 2915, 4969, 7019, 882, 9075, 4985, 2938, 7034, 7036, 11136, 902, 5000, 907, 7059, 2965, 918, 5018, 11165, 928, 2978, 2981, 936, 11179, 7096, 3004, 5065, 11214, 11215, 11216, 7123, 982, 13271, 13276, 9181, 994, 13289, 9196, 1004, 5100, 1007, 5103, 1012, 11253, 1014, 7161, 33789, 13313, 33797, 7177, 5129, 7180, 33804, 11282, 9234, 7188, 1048, 33820, 5149, 1057, 3111, 33835, 1069, 7214, 33840, 1073, 33845, 33846, 5176, 13370, 33851, 1084, 33861, 1094, 1098, 33870, 33878, 3176, 5227, 33900, 33901, 33902, 33903, 33904, 33905, 33906, 33907, 33908, 33909, 33910, 33911, 11384, 33912, 33913, 33915, 9340, 33914, 33916, 3199, 5248, 33917, 3194, 3211, 1171, 9369, 9373, 1190, 13498, 5306, 7359, 13504, 3265, 13509, 1228, 11482, 9437, 13534, 1246, 34030, 13552, 5361, 3330, 11523, 13571, 9487, 3344, 1298, 13589, 7451, 1311, 1312, 7466, 5422, 3378, 5429, 5432, 7489, 1350, 9543, 3400, 7497, 5453, 5454, 7505, 3417, 7517, 11614, 1373, 9570, 3426, 9604, 3465, 3466, 11659, 1422, 1424, 13718, 3495, 13751, 5563, 1475, 3526, 21961, 13771, 9679, 21972, 7641, 21978, 13790, 3552, 21984, 13800, 5610, 34286, 13807, 21999, 3567, 22004, 1530, 1538, 1558, 22039, 11800, 22043, 1567, 7716, 1581, 5679, 11830, 5692, 1598, 5694, 22080, 22092, 11857, 3669, 9815, 5720, 5739, 11886, 11888, 1650, 7801, 7802, 1659, 1661, 7809, 7818, 9870, 11920, 9874, 1687, 34459, 1692, 9889, 3749, 7849, 14002, 1722, 9916, 11967, 7880, 9929, 3785, 7890, 1748, 11992, 1760, 9968, 5877, 5889, 7947, 1810, 7955, 5915, 12064, 34592, 5925, 3878, 1831, 34601, 3883, 1836, 10035, 1848, 7993, 10047, 34630, 1863, 8008, 34631, 34632, 5963, 34633, 34634, 10062, 34635, 34636, 1873, 34637, 34638, 1876, 34639, 12120, 3932, 3945, 10093, 10115, 12165, 8070, 1927, 1928, 3980, 3982, 8080, 3989, 1953, 1968, 1970, 10164, 4026, 8130, 8136, 12236, 1996, 12238, 2003, 6108, 10215, 6120, 6129, 13430, 2043, 6140]",Dienogest,drug,anxiety disorder,disease
14233,31790,"[25522, 88486]","[13976, 22077, 13230]",Hydroflumethiazide,drug,cholelithiasis,disease
14275,28103,"[84369, 25470, 84887, 22827, 22831, 22846, 88903, 25672, 22859, 84940, 23011, 22759, 25201, 86130, 86132, 86133, 23158, 86136, 25468, 23934]","[12276, 10417, 8068, 3607]",Doxorubicin,drug,progressive familial heart block,disease
14250,30035,"[25308, 90791]","[8192, 34820, 34821, 8198, 12295, 34822, 2057, 34823, 34824, 34825, 34826, 34827, 15, 12304, 34828, 34829, 34830, 8212, 34831, 22, 34832, 8216, 34833, 12315, 29, 6175, 8230, 43, 2096, 10293, 4151, 6199, 4152, 61, 4171, 6220, 12367, 4175, 2134, 2143, 6244, 2151, 10346, 4213, 4215, 125, 4221, 2188, 144, 178, 6328, 6329, 12479, 12482, 197, 2248, 12489, 12510, 2277, 6374, 10470, 2281, 8437, 8439, 248, 12537, 12538, 10491, 12539, 10495, 8454, 8464, 4369, 6418, 2322, 35088, 10518, 6424, 12571, 6428, 8476, 286, 287, 6440, 12586, 8497, 6453, 6457, 10556, 10559, 321, 12611, 4420, 4425, 2379, 2387, 12629, 341, 2396, 2398, 2401, 363, 12653, 4468, 375, 381, 12671, 4480, 6529, 389, 390, 4489, 6541, 12691, 2452, 10645, 10654, 418, 2472, 10667, 12724, 4536, 2499, 452, 457, 4554, 4566, 4582, 492, 4593, 10744, 4601, 509, 8702, 6657, 4618, 4620, 10764, 526, 527, 525, 10771, 532, 8726, 6679, 2591, 6691, 8747, 560, 10805, 587, 8781, 4686, 10833, 10835, 6739, 6740, 610, 2672, 12915, 8829, 8832, 12931, 2692, 647, 6792, 12937, 8855, 6808, 4760, 666, 676, 2741, 4794, 12987, 4814, 4815, 13024, 2789, 744, 8936, 748, 2797, 6898, 10997, 8960, 11011, 2820, 2825, 13075, 8979, 799, 11043, 8999, 13097, 4909, 4910, 6964, 11062, 11066, 13115, 9021, 4932, 9029, 4937, 4941, 13147, 7006, 864, 866, 9060, 11123, 11136, 11147, 5009, 2966, 5018, 2983, 11179, 2992, 11185, 9148, 13248, 7110, 5063, 968, 5065, 974, 11215, 983, 985, 9180, 11235, 5092, 11239, 9196, 1004, 5100, 1012, 5109, 1014, 11253, 13309, 13313, 5122, 11267, 3080, 5130, 33805, 13330, 33818, 3100, 1057, 5156, 11301, 3111, 13355, 1069, 33840, 33851, 33856, 1089, 33867, 1101, 33870, 33885, 7266, 7267, 5228, 13423, 3199, 1151, 5256, 1162, 13457, 33938, 11412, 9373, 3235, 33955, 33956, 13479, 5292, 33964, 9399, 5306, 3259, 7359, 33985, 1228, 34005, 11479, 1246, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044, 34045, 34046, 13560, 11523, 1289, 5388, 9487, 3344, 11536, 11539, 9500, 11548, 1311, 1312, 1320, 7466, 3379, 5429, 1335, 3384, 5439, 7490, 7497, 1357, 5454, 13647, 7506, 9558, 3417, 1373, 9574, 1385, 5491, 13688, 7546, 34176, 5507, 3465, 5513, 3466, 3474, 1428, 13718, 9640, 7615, 1475, 1480, 9679, 21972, 1497, 11738, 1503, 13800, 13807, 34290, 9718, 11768, 5624, 11771, 5638, 22024, 13841, 22038, 22039, 5655, 22043, 1567, 11808, 7716, 22057, 3628, 5677, 22068, 13877, 13878, 34358, 3648, 7747, 1605, 22092, 34382, 11857, 7764, 5720, 13915, 3688, 11881, 1650, 13939, 7801, 1658, 1659, 1665, 34434, 5765, 13987, 3764, 9915, 3774, 7877, 9929, 11978, 11992, 5856, 1760, 3812, 1770, 5877, 1785, 34553, 34555, 1798, 1803, 1810, 7955, 7968, 3879, 1836, 7981, 7986, 34612, 1850, 3901, 10047, 34629, 1863, 1866, 5963, 8013, 10062, 10066, 1876, 10074, 3932, 8029, 34654, 1887, 10084, 10093, 1908, 10102, 12166, 1927, 1929, 3980, 12173, 10129, 34722, 4003, 34723, 34724, 34725, 34726, 34727, 34728, 10154, 34729, 34730, 8109, 34731, 34732, 34733, 34734, 34735, 34736, 10164, 34737, 1968, 4023, 4026, 8130, 8136, 6090, 12236, 1996, 12238, 2001, 2002, 4063, 10215, 34792, 34793, 10218, 2027]",Terbinafine,drug,substance abuse/dependence,disease
14157,30813,"[23168, 22788, 84996, 86663, 84363, 87311, 25620, 22555, 84767, 84384, 87331, 84517, 24488, 22953, 87337, 24492, 85040, 23731, 22323, 24502, 25655, 23736, 94136, 86460, 22590, 22977, 26180, 89287, 22984, 85067, 85837, 90191, 85201, 23000, 88282, 23901, 24032, 22497, 23266, 85091, 87526, 25201, 94193, 23157, 23158, 85366, 84728, 84734, 90239]","[8336, 1239, 2616, 668, 6684]",Hydromorphone,drug,Addison disease,disease
17243,29229,"[22369, 94145, 22339, 26180, 22759, 94219, 87212, 84654, 94511, 84887, 87260]","[12769, 6341, 12454, 236, 34416, 2289, 6258, 2674, 4887, 11256, 2331, 6815]",Alimemazine,drug,glaucoma,disease
20362,35738,"[23274, 25908]","[769, 11521, 6019, 3588, 6017, 12936, 395, 1036, 8205, 8845, 1298, 3986, 7702, 25, 5915, 2423, 6175, 8481, 2978, 2551, 8484, 1314, 2601, 1066, 426, 4137, 3246, 10031, 177, 178, 34226, 5558, 11703, 3000, 8637, 7105, 449, 8132, 5831, 22090, 207, 2768, 1233, 4178, 9171, 1748, 6996, 9563, 2140, 1373, 1757, 34908, 8288, 8035, 3556, 12537, 8294, 746, 749, 12653, 2543, 5361, 2803, 4084, 9076, 4339, 375, 504, 1529, 12282, 1788, 125, 8318]",Magnesium oxide,drug,endometrial carcinoma (disease),disease
17229,33575,"[22467, 84359, 24491, 26702, 85012, 94136, 22493]","[34295, 13830, 7688, 10248, 34312, 34317, 34318, 34319, 34322, 22036, 34327, 2072, 10780, 34332, 5150, 12320, 10275, 34341, 9254, 34345, 13354, 2610, 5176, 6715, 3645, 8765, 2629, 6729, 33868, 1107, 13398, 33887, 3170, 1122, 2148, 11881, 1129, 9323, 33897, 11887, 7792, 116, 4214, 119, 3192, 7287, 4732, 125, 1151, 33923, 33926, 33929, 1162, 7818, 7820, 13455, 4757, 9366, 33941, 2712, 8857, 665, 11419, 33954, 12454, 11431, 33958, 169, 1198, 33967, 33971, 12479, 6848, 8385, 194, 12992, 9923, 1221, 9924, 6855, 4295, 6347, 8396, 1741, 1228, 4817, 8914, 213, 3802, 4832, 4323, 7910, 1766, 3819, 12523, 2797, 9459, 12020, 6901, 6907, 34558, 11523, 772, 34055, 9480, 2825, 5898, 34056, 4368, 279, 2329, 2843, 10012, 4399, 34762, 10746, 3380, 6453, 34763, 34764, 7489, 3910, 2889, 6985, 13642, 34767, 34768, 4435, 2387, 8021, 9049, 34770, 34771, 4959, 2400, 34772, 2408, 4968, 361, 34773, 7021, 34774, 879, 4465, 6001, 882, 3955, 2930, 373, 34775, 2429, 7040, 13185, 5508, 5517, 13709, 3471, 7568, 4497, 10137, 1437, 10654, 9128, 11179, 34220, 34221, 6574, 34223, 2481, 4019, 34227, 34228, 34229, 4536, 6073, 1980, 34748, 34749, 447, 5056, 34750, 1986, 34751, 34752, 34753, 6598, 3014, 1480, 13257, 34754, 34755, 34756, 34757, 34758, 21967, 34759, 34760, 34761, 7123, 7124, 9171, 34765, 34766, 34264, 13273, 34769, 34267, 34268, 989, 5086, 34269, 21981, 34273, 21992, 8682, 9194, 2029, 22000, 34289, 9207, 7161, 9722, 34300]",Cetirizine,drug,diabetes mellitus (disease),disease
15296,27468,"[89256, 24461, 23984, 22933, 84885]","[362, 4237, 6002, 1908, 8733, 3231]",Griseofulvin,drug,X-linked severe congenital neutropenia,disease
15074,33664,"[23266, 94251, 22679]","[5203, 341]",Amphetamine,drug,sleep apnea syndrome,disease
16063,30035,"[25308, 90791]","[8192, 34820, 34821, 8198, 12295, 34822, 2057, 34823, 34824, 34825, 34826, 34827, 15, 12304, 34828, 34829, 34830, 8212, 34831, 22, 34832, 8216, 34833, 12315, 29, 6175, 8230, 43, 2096, 10293, 4151, 6199, 4152, 61, 4171, 6220, 12367, 4175, 2134, 2143, 6244, 2151, 10346, 4213, 4215, 125, 4221, 2188, 144, 178, 6328, 6329, 12479, 12482, 197, 2248, 12489, 12510, 2277, 6374, 10470, 2281, 8437, 8439, 248, 12537, 12538, 10491, 12539, 10495, 8454, 8464, 4369, 6418, 2322, 35088, 10518, 6424, 12571, 6428, 8476, 286, 287, 6440, 12586, 8497, 6453, 6457, 10556, 10559, 321, 12611, 4420, 4425, 2379, 2387, 12629, 341, 2396, 2398, 2401, 363, 12653, 4468, 375, 381, 12671, 4480, 6529, 389, 390, 4489, 6541, 12691, 2452, 10645, 10654, 418, 2472, 10667, 12724, 4536, 2499, 452, 457, 4554, 4566, 4582, 492, 4593, 10744, 4601, 509, 8702, 6657, 4618, 4620, 10764, 526, 527, 525, 10771, 532, 8726, 6679, 2591, 6691, 8747, 560, 10805, 587, 8781, 4686, 10833, 10835, 6739, 6740, 610, 2672, 12915, 8829, 8832, 12931, 2692, 647, 6792, 12937, 8855, 6808, 4760, 666, 676, 2741, 4794, 12987, 4814, 4815, 13024, 2789, 744, 8936, 748, 2797, 6898, 10997, 8960, 11011, 2820, 2825, 13075, 8979, 799, 11043, 8999, 13097, 4909, 4910, 6964, 11062, 11066, 13115, 9021, 4932, 9029, 4937, 4941, 13147, 7006, 864, 866, 9060, 11123, 11136, 11147, 5009, 2966, 5018, 2983, 11179, 2992, 11185, 9148, 13248, 7110, 5063, 968, 5065, 974, 11215, 983, 985, 9180, 11235, 5092, 11239, 9196, 1004, 5100, 1012, 5109, 1014, 11253, 13309, 13313, 5122, 11267, 3080, 5130, 33805, 13330, 33818, 3100, 1057, 5156, 11301, 3111, 13355, 1069, 33840, 33851, 33856, 1089, 33867, 1101, 33870, 33885, 7266, 7267, 5228, 13423, 3199, 1151, 5256, 1162, 13457, 33938, 11412, 9373, 3235, 33955, 33956, 13479, 5292, 33964, 9399, 5306, 3259, 7359, 33985, 1228, 34005, 11479, 1246, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044, 34045, 34046, 13560, 11523, 1289, 5388, 9487, 3344, 11536, 11539, 9500, 11548, 1311, 1312, 1320, 7466, 3379, 5429, 1335, 3384, 5439, 7490, 7497, 1357, 5454, 13647, 7506, 9558, 3417, 1373, 9574, 1385, 5491, 13688, 7546, 34176, 5507, 3465, 5513, 3466, 3474, 1428, 13718, 9640, 7615, 1475, 1480, 9679, 21972, 1497, 11738, 1503, 13800, 13807, 34290, 9718, 11768, 5624, 11771, 5638, 22024, 13841, 22038, 22039, 5655, 22043, 1567, 11808, 7716, 22057, 3628, 5677, 22068, 13877, 13878, 34358, 3648, 7747, 1605, 22092, 34382, 11857, 7764, 5720, 13915, 3688, 11881, 1650, 13939, 7801, 1658, 1659, 1665, 34434, 5765, 13987, 3764, 9915, 3774, 7877, 9929, 11978, 11992, 5856, 1760, 3812, 1770, 5877, 1785, 34553, 34555, 1798, 1803, 1810, 7955, 7968, 3879, 1836, 7981, 7986, 34612, 1850, 3901, 10047, 34629, 1863, 1866, 5963, 8013, 10062, 10066, 1876, 10074, 3932, 8029, 34654, 1887, 10084, 10093, 1908, 10102, 12166, 1927, 1929, 3980, 12173, 10129, 34722, 4003, 34723, 34724, 34725, 34726, 34727, 34728, 10154, 34729, 34730, 8109, 34731, 34732, 34733, 34734, 34735, 34736, 10164, 34737, 1968, 4023, 4026, 8130, 8136, 6090, 12236, 1996, 12238, 2001, 2002, 4063, 10215, 34792, 34793, 10218, 2027]",Scopolamine,drug,substance abuse/dependence,disease
20298,27591,"[23488, 22999, 26180, 89623, 22759, 24264, 85610, 90154, 88749, 85615, 23537, 22323, 22196, 23541, 23543, 23544, 23481, 25663]","[9652, 11038]",Potassium citrate,drug,myotonia congenita,disease
